<BEGIN> Circle(10, 4, 4); BLACK <END>
<BEGIN> Line(6, 12, 6, 16); Line(6, 16, 14, 15); Line(14, 15, 6, 12); BLUE <END>
<BEGIN> Line(6, 3, 2, 16); Line(2, 16, 8, 4); Line(8, 4, 6, 3); BLACK <END>
<BEGIN> Line(11, 19, 13, 4); Line(13, 4, 16, 9); Line(16, 9, 11, 19); GREEN <END>
<BEGIN> Line(0, 0, 18, 1); Line(18, 1, 17, 2); Line(17, 2, 0, 0); GREEN <END>
<BEGIN> Line(2, 3, 10, 9); Line(10, 9, 1, 8); Line(1, 8, 2, 3); RED <END>
<BEGIN> Line(3, 16, 18, 10); Line(18, 10, 11, 10); Line(11, 10, 3, 16); BLACK <END>
<BEGIN> Line(9, 8, 12, 1); Line(12, 1, 17, 1); Line(17, 1, 9, 8); BLACK <END>
<BEGIN> Line(7, 10, 1, 0); Line(1, 0, 7, 3); Line(7, 3, 7, 10); GREEN <END>
<BEGIN> Line(14, 9, 1, 11); Line(1, 11, 13, 19); Line(13, 19, 14, 9); PURPLE <END>
<BEGIN> Line(7, 15, 3, 3); Line(3, 3, 6, 3); Line(6, 3, 7, 15); BLUE <END>
<BEGIN> Line(16, 13, 4, 13); Line(4, 13, 4, 13); Line(4, 13, 16, 13); BLUE <END>
<BEGIN> Line(5, 16, 13, 10); Line(13, 10, 19, 16); Line(19, 16, 5, 16); PURPLE <END>
<BEGIN> Line(0, 16, 19, 9); Line(19, 9, 12, 14); Line(12, 14, 0, 16); GREEN <END>
<BEGIN> Line(15, 15, 1, 17); Line(1, 17, 19, 15); Line(19, 15, 15, 15); PURPLE <END>
<BEGIN> Line(0, 1, 17, 15); Line(17, 15, 5, 6); Line(5, 6, 0, 1); RED <END>
<BEGIN> Line(10, 3, 3, 16); Line(3, 16, 15, 18); Line(15, 18, 10, 3); BLUE <END>
<BEGIN> Line(8, 1, 3, 0); Line(3, 0, 0, 13); Line(0, 13, 8, 1); RED <END>
<BEGIN> Line(8, 16, 14, 13); Line(14, 13, 3, 7); Line(3, 7, 8, 16); GREEN <END>
<BEGIN> Line(0, 11, 13, 19); Line(13, 19, 15, 0); Line(15, 0, 0, 11); GREEN <END>
<BEGIN> Line(18, 10, 10, 14); Line(10, 14, 12, 17); Line(12, 17, 18, 10); PURPLE <END>
<BEGIN> Line(14, 15, 3, 17); Line(3, 17, 8, 9); Line(8, 9, 14, 15); BLUE <END>
<BEGIN> Line(14, 4, 18, 19); Line(18, 19, 3, 6); Line(3, 6, 14, 4); PURPLE <END>
<BEGIN> Line(8, 3, 10, 4); Line(10, 4, 19, 17); Line(19, 17, 8, 3); GREEN <END>
<BEGIN> Line(16, 3, 13, 4); Line(13, 4, 8, 6); Line(8, 6, 16, 3); RED <END>
<BEGIN> Line(10, 11, 15, 19); Line(15, 19, 5, 19); Line(5, 19, 10, 11); BLUE <END>
<BEGIN> Line(11, 9, 15, 12); Line(15, 12, 4, 6); Line(4, 6, 11, 9); BLACK <END>
<BEGIN> Line(19, 10, 9, 19); Line(9, 19, 7, 12); Line(7, 12, 19, 10); PURPLE <END>
<BEGIN> Line(6, 18, 12, 14); Line(12, 14, 3, 3); Line(3, 3, 6, 18); BLUE <END>
<BEGIN> Line(13, 12, 10, 3); Line(10, 3, 3, 17); Line(3, 17, 13, 12); BLACK <END>
<BEGIN> Line(11, 6, 14, 4); Line(14, 4, 12, 8); Line(12, 8, 11, 6); GREEN <END>
<BEGIN> Line(10, 19, 8, 11); Line(8, 11, 4, 5); Line(4, 5, 10, 19); BLUE <END>
<BEGIN> Line(6, 10, 3, 18); Line(3, 18, 0, 2); Line(0, 2, 6, 10); BLUE <END>
<BEGIN> Line(9, 1, 4, 8); Line(4, 8, 7, 7); Line(7, 7, 9, 1); PURPLE <END>
<BEGIN> Line(9, 18, 10, 17); Line(10, 17, 5, 16); Line(5, 16, 9, 18); BLACK <END>
<BEGIN> Line(18, 4, 4, 3); Line(4, 3, 18, 17); Line(18, 17, 18, 4); PURPLE <END>
<BEGIN> Line(2, 6, 8, 4); Line(8, 4, 6, 15); Line(6, 15, 2, 6); BLUE <END>
<BEGIN> Line(16, 4, 1, 16); Line(1, 16, 0, 10); Line(0, 10, 16, 4); PURPLE <END>
<BEGIN> Line(2, 16, 11, 12); Line(11, 12, 16, 2); Line(16, 2, 2, 16); BLUE <END>
<BEGIN> Line(9, 6, 7, 1); Line(7, 1, 4, 3); Line(4, 3, 9, 6); RED <END>
<BEGIN> Line(1, 14, 1, 8); Line(1, 8, 9, 11); Line(9, 11, 1, 14); BLUE <END>
<BEGIN> Line(0, 9, 19, 6); Line(19, 6, 6, 19); Line(6, 19, 0, 9); RED <END>
<BEGIN> Line(5, 12, 11, 9); Line(11, 9, 6, 12); Line(6, 12, 5, 12); BLACK <END>
<BEGIN> Line(8, 1, 7, 13); Line(7, 13, 9, 2); Line(9, 2, 8, 1); BLACK <END>
<BEGIN> Line(7, 14, 17, 19); Line(17, 19, 13, 1); Line(13, 1, 7, 14); GREEN <END>
<BEGIN> Line(16, 4, 11, 19); Line(11, 19, 11, 15); Line(11, 15, 16, 4); RED <END>
<BEGIN> Line(16, 2, 17, 6); Line(17, 6, 12, 18); Line(12, 18, 16, 2); BLACK <END>
<BEGIN> Line(1, 8, 2, 3); Line(2, 3, 3, 11); Line(3, 11, 1, 8); BLACK <END>
<BEGIN> Line(0, 10, 10, 1); Line(10, 1, 12, 4); Line(12, 4, 0, 10); GREEN <END>
<BEGIN> Line(12, 1, 7, 13); Line(7, 13, 15, 15); Line(15, 15, 12, 1); PURPLE <END>
<BEGIN> Line(12, 11, 0, 16); Line(0, 16, 5, 14); Line(5, 14, 12, 11); GREEN <END>
<BEGIN> Line(15, 14, 11, 5); Line(11, 5, 17, 0); Line(17, 0, 15, 14); PURPLE <END>
<BEGIN> Line(1, 8, 2, 1); Line(2, 1, 19, 19); Line(19, 19, 1, 8); PURPLE <END>
<BEGIN> Line(4, 5, 5, 19); Line(5, 19, 0, 2); Line(0, 2, 4, 5); PURPLE <END>
